epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,23.7636,0.57713,1.01264,0.97033,0.91665,0.37238,0.41103,0.29726,1.80068,2.44744,1.60953,2.82082e-05,2.82082e-05,2.82082e-05
40,24.2431,0.91321,1.54143,1.37716,0.91665,0.37238,0.41103,0.29726,1.80068,2.44744,1.60953,2.84911e-05,2.84911e-05,2.84911e-05
41,24.7481,0.77096,0.88085,1.10822,0.92475,0.37281,0.41098,0.29709,1.78774,2.46368,1.59471,2.87504e-05,2.87504e-05,2.87504e-05
42,25.2397,0.97246,1.18817,1.27198,0.92475,0.37281,0.41098,0.29709,1.78774,2.46368,1.59471,2.89861e-05,2.89861e-05,2.89861e-05
43,25.7336,0.69362,1.15389,1.22551,0.93003,0.3728,0.4111,0.29689,1.76931,2.46726,1.57649,2.91983e-05,2.91983e-05,2.91983e-05
44,26.2437,1.03277,2.0852,1.38751,0.93003,0.3728,0.4111,0.29689,1.76931,2.46726,1.57649,2.93869e-05,2.93869e-05,2.93869e-05
45,26.745,0.7879,1.1967,1.25712,0.7822,0.38954,0.41388,0.2818,1.765,2.45689,1.56877,2.9552e-05,2.9552e-05,2.9552e-05
46,27.2337,0.99026,1.1251,1.32706,0.7822,0.38954,0.41388,0.2818,1.765,2.45689,1.56877,2.96935e-05,2.96935e-05,2.96935e-05
47,27.7203,1.10633,1.6578,1.42355,0.95049,0.38928,0.41585,0.31708,1.75331,2.43332,1.54892,2.98114e-05,2.98114e-05,2.98114e-05
48,28.2093,0.81549,0.81905,1.25345,0.95049,0.38928,0.41585,0.31708,1.75331,2.43332,1.54892,2.99058e-05,2.99058e-05,2.99058e-05
49,28.6914,0.60805,0.94867,1.12362,0.95445,0.38786,0.41608,0.31747,1.76733,2.43915,1.55146,2.99766e-05,2.99766e-05,2.99766e-05
50,29.1637,0.79689,1.07451,1.21302,0.95445,0.38786,0.41608,0.31747,1.76733,2.43915,1.55146,3.00238e-05,3.00238e-05,3.00238e-05
51,29.6571,0.7526,0.95077,1.15561,0.95722,0.38704,0.41793,0.31789,1.78312,2.42811,1.55418,3.00475e-05,3.00475e-05,3.00475e-05
52,30.1456,0.77213,1.3077,1.19022,0.95722,0.38704,0.41793,0.31789,1.78312,2.42811,1.55418,3.00476e-05,3.00476e-05,3.00476e-05
53,30.6116,0.65974,1.06438,1.09158,0.95722,0.38704,0.41793,0.31789,1.78312,2.42811,1.55418,3.00242e-05,3.00242e-05,3.00242e-05
54,31.1065,0.72491,0.91528,1.25612,0.95381,0.38714,0.41956,0.31855,1.81326,2.42709,1.56878,2.99772e-05,2.99772e-05,2.99772e-05
55,31.6016,0.65434,1.07996,1.08785,0.95381,0.38714,0.41956,0.31855,1.81326,2.42709,1.56878,2.99066e-05,2.99066e-05,2.99066e-05
56,32.0785,0.777,1.07268,1.25711,0.95381,0.38714,0.41956,0.31855,1.81326,2.42709,1.56878,2.98125e-05,2.98125e-05,2.98125e-05
57,32.5823,0.64232,0.74174,1.08508,0.95719,0.38737,0.41877,0.31444,1.82981,2.48028,1.56929,2.96948e-05,2.96948e-05,2.96948e-05
58,33.0741,0.67006,0.71071,1.22119,0.95719,0.38737,0.41877,0.31444,1.82981,2.48028,1.56929,2.95535e-05,2.95535e-05,2.95535e-05
59,33.5621,0.9107,0.95205,1.1216,0.95719,0.38737,0.41877,0.31444,1.82981,2.48028,1.56929,2.93887e-05,2.93887e-05,2.93887e-05
60,34.0576,0.89783,1.65999,1.2294,0.9575,0.38661,0.41787,0.31456,1.81522,2.53434,1.56197,2.92003e-05,2.92003e-05,2.92003e-05
61,34.5503,0.70575,0.89016,1.00877,0.9575,0.38661,0.41787,0.31456,1.81522,2.53434,1.56197,2.89884e-05,2.89884e-05,2.89884e-05
62,35.0428,0.57714,0.73644,0.98103,0.9575,0.38661,0.41787,0.31456,1.81522,2.53434,1.56197,2.87529e-05,2.87529e-05,2.87529e-05
63,35.541,0.72103,1.42397,1.23611,0.96221,0.3875,0.42098,0.3244,1.81695,2.49891,1.55004,2.84938e-05,2.84938e-05,2.84938e-05
64,36.0136,0.68709,0.87541,1.1669,0.96221,0.3875,0.42098,0.3244,1.81695,2.49891,1.55004,2.82112e-05,2.82112e-05,2.82112e-05
65,36.4653,0.78822,0.74026,1.16267,0.96221,0.3875,0.42098,0.3244,1.81695,2.49891,1.55004,2.7905e-05,2.7905e-05,2.7905e-05
66,36.9476,0.82634,1.35706,1.17897,0.95341,0.38975,0.42188,0.30916,1.81154,2.50022,1.54119,2.75753e-05,2.75753e-05,2.75753e-05
67,37.4127,0.8378,1.314,1.26959,0.95341,0.38975,0.42188,0.30916,1.81154,2.50022,1.54119,2.7222e-05,2.7222e-05,2.7222e-05
68,37.8903,0.88048,0.91433,1.18942,0.95341,0.38975,0.42188,0.30916,1.81154,2.50022,1.54119,2.68451e-05,2.68451e-05,2.68451e-05
69,38.3687,0.77687,0.82716,1.14811,0.9565,0.38826,0.42183,0.30693,1.835,2.49155,1.55098,2.64447e-05,2.64447e-05,2.64447e-05
70,38.8007,0.61671,0.64819,1.02149,0.9565,0.38826,0.42183,0.30693,1.835,2.49155,1.55098,2.60207e-05,2.60207e-05,2.60207e-05
